Date ,State ,Total_Count,Male_Count,Female_Count,,,,
2020-06-22,California,173824,87607,85521,,,,
2020-06-22,Colorado,30539,14610,15376,,,,
2020-06-22,Connecticut,45755,20651,24896,,,,
2020-06-22,Delaware,10775,4788,5968,,,,
2020-06-22,District of Columbia,10020,4975,5026,,,,
2020-06-22,Florida,95139,46957,48003,,,,
2020-06-22,Georgia,64701,29374,33968,,,,
2020-06-22,Hawaii,814,0,0,,,,
2020-06-22,Idaho,4006,1833,2159,,,,
2020-06-22,Illinois,136762,64680,69516,,,,
2020-06-22,Indiana,42423,19599,21975,,,,
2020-06-22,Iowa,26020,13270,12229,,,,
2020-06-22,Kansas,12059,6510,5376,,,,
2020-06-22,Kentucky,13750,6508,7101,,,,
2020-06-22,Louisiana,49778,20907,27876,,,,
2020-06-22,Maine,2957,1443,1514,,,,
2020-06-22,Maryland,64306,30888,33418,,,,
2020-06-22,Massachusetts,107061,47235,58348,,,,
2020-06-22,Michigan,61230,29107,31953,,,,
2020-06-22,Minnesota,32920,15839,16840,,,,
2020-06-22,Mississippi,20641,8463,12034,,,,
2020-06-22,Missouri,18003,8215,9673,,,,
2020-06-22,Montana,717,355,362,,,,
2020-06-22,Nebraska,17810,8513,8513,,,,
2020-06-22,Nevada,13205,6134,6576,,,,
2020-06-22,New Hampshire,5544,2345,3195,,,,
2020-06-22,New Jersey,169142,0,0,,,,
2020-06-22,New Mexico,10565,5295,5141,,,,
2020-06-22,New York,387936,197071,188149,,,,
2020-06-22,North Carolina,52801,25842,26292,,,,
2020-06-22,North Dakota,3288,1534,1754,,,,
2020-06-22,Ohio,41578,21205,19957,,,,
2020-06-22,Oklahoma,10515,5091,5350,,,,
2020-06-22,Oregon,6572,3184,3368,,,,
2020-06-22,Pennsylvania,79405,36100,44900,,,,
2020-06-22,Puerto Rico,1474,741,733,,,,
2020-06-22,Rhode Island,16337,7188,9149,,,,
2020-06-22,South Carolina,24661,10654,12972,,,,
2020-06-22,South Dakota,6297,3273,3024,,,,
2020-06-22,Tennessee,35102,18727,15383,,,,
2020-06-22,Texas,111601,55577,55019,,,,
2020-06-22,US Virgin Island,76,31,45,,,,
