Date,Sex,Age Group,Total Deaths,COVID-19 Deaths
2022-05-14,Male,<1 Years,200,0
2022-05-14,Male,1-4 Years,36,1
2022-05-14,Male,5-14 Years,62,2
2022-05-14,Male,15-24 Years,527,4
2022-05-14,Male,25-34 Years,933,8
2022-05-14,Male,35-44 Years,"1,331",12
2022-05-14,Male,45-54 Years,"2,049",33
2022-05-14,Male,55-64 Years,"4,611",99
2022-05-14,Male,65-74 Years,"6,665",177
2022-05-14,Male,75-84 Years,"7,515",241
2022-05-14,Male,85+ Years,"6,352",295
2022-05-14,Female,All Ages,"27,618",788
2022-05-14,Female,<1 Years,201,2
2022-05-14,Female,1-4 Years,36,0
2022-05-14,Female,5-14 Years,48,0
2022-05-14,Female,15-24 Years,181,0
2022-05-14,Female,25-34 Years,435,7
2022-05-14,Female,35-44 Years,700,18
2022-05-14,Female,45-54 Years,"1,240",25
2022-05-14,Female,55-64 Years,"2,917",76
2022-05-14,Female,65-74 Years,"4,991",142
2022-05-14,Female,75-84 Years,"6,911",190
2022-05-14,Female,85+ Years,"9,958",328
2022-05-21,All Sex,All Ages,"57,656","1,740"
2022-05-21,All Sex,<1 Years,378,3
2022-05-21,All Sex,1-4 Years,97,8
2022-05-21,All Sex,5-14 Years,109,0
2022-05-21,All Sex,15-24 Years,703,8
2022-05-21,All Sex,25-34 Years,"1,321",13
2022-05-21,All Sex,35-44 Years,"2,052",43
2022-05-21,All Sex,45-54 Years,"3,304",71
2022-05-21,All Sex,55-64 Years,"7,359",150
2022-05-21,All Sex,65-74 Years,"11,716",321
2022-05-21,All Sex,75-84 Years,"14,421",465
2022-05-21,All Sex,85+ Years,"16,196",658
2022-05-21,Male,All Ages,"30,421",867
2022-05-21,Male,<1 Years,216,2
2022-05-21,Male,1-4 Years,58,6
2022-05-21,Male,5-14 Years,66,0
2022-05-21,Male,15-24 Years,528,5
2022-05-21,Male,25-34 Years,931,9
2022-05-21,Male,35-44 Years,"1,354",28
2022-05-21,Male,45-54 Years,"2,019",34
2022-05-21,Male,55-64 Years,"4,503",73
2022-05-21,Male,65-74 Years,"6,818",186
2022-05-21,Male,75-84 Years,"7,510",256
2022-05-21,Male,85+ Years,"6,418",268
2022-05-21,Female,All Ages,"27,235",873
2022-05-21,Female,<1 Years,162,1
2022-05-21,Female,1-4 Years,39,2
2022-05-21,Female,5-14 Years,43,0
2022-05-21,Female,15-24 Years,175,3
2022-05-21,Female,25-34 Years,390,4
2022-05-21,Female,35-44 Years,698,15
2022-05-21,Female,45-54 Years,"1,285",37
2022-05-21,Female,55-64 Years,"2,856",77
2022-05-21,Female,65-74 Years,"4,898",135
2022-05-21,Female,75-84 Years,"6,911",209
2022-05-21,Female,85+ Years,"9,778",390
2022-05-28,All Sex,All Ages,"57,067","1,932"
